name,member_ct,tags
"Academic Team",51,"Academic,Social"
"Advanced Radar Research Center Student Affairs Committee",34,"Academic,Professional,Recreational,Social"
"Afghan Student Association",14,"Academic,Cultural,Environmental Sustainability,Honorary,Media,Other,Performing,Religious/Spiritual,Social,Special Interest"
"African Student Association",278,"Cultural,Service,Social"
"African Women's League",96,"Cultural,Other,Service,Social"
"Afrobeatz Dance Club at the University of Oklahoma",91,"Cultural,Performing,Recreational,Social"
"Agricultural Law Association",29,"Academic,Special Interest"
"Air Force ROTC Student Association ",84,"Academic,Professional"
"Alpha Chi Omega",33,"Greek,Panhellenic,Service,Social"
"Alpha Eta Rho - Beta Chi Chapter",51,"Academic,Greek,Professional,Social,Special Interest"
"Alpha Gamma Delta",24,"Greek,Panhellenic,Service,Social"
"Alpha Kappa Alpha Sorority, Incorporated, Kappa Psi Chapter.",28,"Greek,National Panhellenic Council,Service"
"alpha Kappa Delta Phi",46,"Cultural,Greek,Multicultural Greek Council"
"Alpha Lambda Delta",406,"Academic,Honorary,Service"
"Alpha Omega Society ",5,"Academic,Service,Special Interest"
"Alpha Omicron Pi",61,"Greek,Panhellenic"
"Alpha Phi",4,"Greek,Panhellenic"
"Alpha Phi Alpha Fraternity, Inc.",1,"Greek,National Panhellenic Council,Service"
"Alpha Phi Omega, Delta Beta Chapter",12,"Service,Social"
"Alpha Sigma Kappa - Women and Gender Minorities in Technical Studies",44,"Academic,Affiliate Circle,Greek,Social"
"Alpha Sigma Phi",16,"Academic,Greek,Interfraternity Council ,Professional,Service,Social"
"Alpha Tau Omega",12,"Interfraternity Council "
"American Association of Drilling Engineers",19,"Academic"
"American Association of Petroleum Geologists",34,"Academic,Other,Professional,Special Interest"
"American Cancer Society Relay for Life",189,"Service,Social,Special Interest"
"American Choral Directors Association",2,"Academic,Performing,Professional,Special Interest"
"American Constitution Society",48,"Academic,Political,Special Interest"
"American Foundation for Suicide Prevention at the University of Oklahoma",35,"Service,Social,Special Interest"
"American Indian Law Review",15,"Academic,Cultural"
"American Indian Science and Engineering Society",130,"Cultural,Professional"
"American Indian Student Association",270,"Cultural,Other,Social"
"American Institute of Aeronautics and Astronautics",71,"Academic,Professional"
"American Institute of Architecture Students at the University of Oklahoma",25,"Academic,Environmental Sustainability,Professional,Service,Social,Special Interest"
"American Institute of Chemical Engineers",118,"Academic,Professional"
"American Lung Cancer Screening Initiative",5,"Academic,Professional,Service"
"American Marketing Association",313,"Academic,Social,Special Interest"
"American Mock World Health Organization",162,"Academic,Special Interest"
"American Sign Language Club",185,"Cultural,Social,Special Interest"
"American Society for Microbiology Oklahoma Chapter",60,"Academic,Professional,Special Interest"
"American Society of Civil Engineers",70,"Professional"
"American Society of Engineering Education Student Chapter",24,"Academic,Professional,Social"
"American Society of Mechanical Engineers",101,"Academic,Professional,Social,Special Interest"
"Animal Legal Defense Fund at The University of Oklahoma College of Law",21,"Academic,Environmental Sustainability,Other,Political,Service,Special Interest"
"Animation @ The University of Oklahoma",44,"Cultural,Media,Other,Performing,Professional,Recreational,Special Interest"
"Anthropology Graduate Student Association",18,"Academic,Cultural,Professional,Recreational"
"Antioch Community Church",21,"Religious/Spiritual"
"APICS",99,"Academic,Professional,Recreational,Service,Social,Special Interest"
"Arab Student Association",63,"Cultural"
"Arabic Club",19,"Cultural,Religious/Spiritual,Social"
"Architectural Engineering Institute",37,"Academic"
"Armenian Student Organization",18,"Cultural"
"Arnold Air Society",12,"Honorary,Professional,Service"
"Art Club",109,"Recreational,Special Interest"
"Artificial Intelligence Organization at the University of Oklahoma",251,"Academic,Professional,Special Interest"
"ASCE Concrete Canoe Team",34,"Academic,Professional,Special Interest"
"ASHRAE Student Chapter",15,"Academic,Professional"
"Asian American Student Association",127,"Cultural,Political,Service,Social"
"Asian Americans in Business Association",131,"Academic,Cultural,Professional,Social"
"Asian Americans in Healthcare Association",4,"Academic,Cultural"
"Asian Pacific American Law Student Association",31,"Academic,Cultural,Professional,Recreational,Social"
"Association for Women in Mathematics",11,"Academic,Social"
"Association of Geography Graduate Students",29,"Academic,Environmental Sustainability,Social"
"Association of Southeast Asian Nations",101,"Cultural,Performing,Social"
"Association of Southern African Students ",71,"Cultural,Performing,Service,Social"
